lab computers crashing during exams,High
hostel gate lock broken anyone can enter,High
no streetlight very unsafe at night,High
sewage smell in entire hostel block,High
internet down before online submission deadline,High
wifi not working and exam is tomorrow,High
power cut during practical exam work lost,High
cannot access portal to submit assignment,High
marks discrepancy not resolved for months,High
financial hardship due to fee issue,High
this is not very urgent,Low
minor suggestion about timetable,Low
small feedback about canteen prices,Low
please improve garden maintenance,Low
request to add more books in library,Low
kindly provide more parking space,Low
suggestion about sports schedule,Low
feedback on hostel room allocation,Low
please consider adding water cooler,Low
request for better chairs in classroom,Low
occasionally the fan stops,Low
sometimes the lights flicker,Low
minor noise issue in corridor at night,Low
please look into this at your convenience,Low
small request about campus wifi,Low
kindly address this when possible,Low
this can be resolved without urgency,Low
please update the website,Low
request to fix minor crack in wall,Low
suggestion to paint hostel corridor,Low
no internet for past week exam tomorrow,High
electric wire sparking in my room urgent,High
food poisoning 10 students hospitalized,High
water contamination in drinking supply,High
structural damage to hostel building,High
fire hazard in electrical room,High
sewage leaking into water tank,High
result withheld without valid reason,High
forced to pay extra fees illegally,High
ragging incident not investigated,High
medical emergency no support from college,High
exam cancelled without notice,High
academic documents missing from office,High
laptop damaged due to power fluctuation,High
gas leak smell in hostel kitchen,High
wifi works fine most of the time,Low
fan is okay just slightly noisy,Low
mess is decent could use improvement,Low
library is good need more computers,Low
hostel is fine minor cleanliness issue,Low
campus is nice need more greenery,Low
classes are good need better projector,Low
sports ground is okay needs maintenance,Low
canteen prices are high suggestion only,Low
internet is available but slow at times,Low
please add more seating in reading room,Low
kindly improve the mess menu variety,Low
request to fix minor pothole at entrance,Low
suggestion to improve hostel aesthetics,Low
feedback about lab equipment quality,Low
please consider upgrading computers,Low
request for better classroom ventilation,Low
minor issue with attendance portal,Low
suggestion to add water purifier,Low
feedback on college event management,Low
urgent wifi not working since 3 days cannot submit,High
emergency power failure in exam hall,High
dangerous wiring exposed students at risk,High
immediate action needed sewage overflow,High
critical issue marks not updated before result,High
severe water shortage entire hostel,High
urgent medical issue no support from admin,High
immediate attention needed hostel flooding,High
this needs urgent resolution,High
please resolve this immediately it is critical,High
if possible kindly look into this,Low
no rush but please address this feedback,Low
this is just a small suggestion,Low
whenever convenient please fix this,Low
not urgent just a minor request,Low
please address this when you get time,Low
small improvement request for campus,Low
gentle reminder about the pending request,Low
low priority issue please fix when possible,Low
this is a minor inconvenience,Low
text,priority
wifi not working since 3 days,High
internet down cannot attend online classes,High
no electricity since last night,High
electric shock from socket in room,High
short circuit in hostel corridor,High
food poisoning from mess food,High
insects found in food,High
cockroaches in mess kitchen,High
students falling sick due to mess food,High
rats seen in mess kitchen,High
marks not updated for 2 months,High
professor not responding to emails for weeks,High
paper evaluated unfairly affecting gpa badly,High
internal marks wrong and gpa is dropping,High
assignment submitted but marks not given for months,High
scholarship not processed for 3 months,High
no response from admin office since weeks,High
bonafide certificate not issued urgent,High
water leakage flooding entire room,High
pipe burst in hostel bathroom,High
sewage overflow near hostel,High
ceiling collapsed in classroom,High
staircase railing broken very dangerous,High
no water supply for 2 days,High
wiring exposed in corridor very dangerous,High
sparking sounds from electrical panel,High
generator not working during power cut,High
ups failure causing loss of exam work,High
power fluctuation damaging laptops,High
emergency lights not working,High
wifi down for past one week,High
unable to attend any online lectures,High
cannot submit assignments due to no internet,High
internet outage affecting entire hostel,High
no network since 4 days,High
mess food causing stomach problems,High
stale food served in mess,High
expired products used in cooking,High
dirty utensils in mess causing illness,High
no drinking water available in hostel,High
exam result not published,High
unfair evaluation in final exam,High
attendance wrongly marked failing me,High
wrong grades entered affecting semester,High
faculty absent for entire month,High
fee not refunded after course cancellation,High
caution deposit not returned,High
harassment by college security,High
anti ragging complaint not addressed,High
hostel room door lock broken unsafe,High
wifi is a bit slow today,Low
internet speed slightly reduced,Low
fan making small noise,Low
minor water leakage near window,Low
small crack in wall,Low
mess food could be better,Low
suggestion for mess menu improvement,Low
kindly fix the tap when possible,Low
request to improve wifi speed,Low
feedback on library timings,Low
please look into broken bench in garden,Low
dustbin full in corridor kindly empty,Low
lights dim in study room,Low
ac temperature slightly warm,Low
suggestion to add more seating in canteen,Low
request for better sports facilities,Low
please improve cleaning schedule,Low
minor issue with water pressure,Low
fan speed slightly low,Low
request to extend library hours,Low
occasionally internet is slow,Low
sometimes power flickers briefly,Low
kindly update the notice board,Low
please provide more dustbins on campus,Low
request to repair broken bench,Low
slight delay in mess serving time,Low
please check the wifi router occasionally,Low
minor complaint about noise in corridor,Low
feedback about classroom temperature,Low
request to improve road in campus,Low
internet works but speed could be better,Low
mess food is okay but variety could improve,Low
kindly look into this small issue,Low
please fix this when convenient,Low
this is a small request,Low
not urgent but please address,Low
suggestion to improve campus lighting,Low
request for better water coolers,Low
feedback on hostel cleaning schedule,Low
please consider improving sports ground,Low
wifi has been down for 5 days now,High
no power in my room since yesterday night,High
dangerous exposed wire in bathroom,High
food has made multiple students sick,High
result not declared even after 2 months,High
scholarship rejected without any reason,High
professor giving zero marks without checking,High
water not available since 3 days,High
flooding in hostel room during rain,High
elevator not working for weeks,High
lab computers crashing during exams,High
hostel gate lock broken anyone can enter,High
no streetlight very unsafe at night,High
sewage smell in entire hostel block,High
internet down before online submission deadline,High
wifi not working and exam is tomorrow,High
power cut during practical exam work lost,High
cannot access portal to submit assignment,High
marks discrepancy not resolved for months,High
financial hardship due to fee issue,High
this is not very urgent,Low
minor suggestion about timetable,Low
small feedback about canteen prices,Low
please improve garden maintenance,Low
request to add more books in library,Low
kindly provide more parking space,Low
suggestion about sports schedule,Low
feedback on hostel room allocation,Low
please consider adding water cooler,Low
request for better chairs in classroom,Low
occasionally the fan stops,Low
sometimes the lights flicker,Low
minor noise issue in corridor at night,Low
please look into this at your convenience,Low
small request about campus wifi,Low
kindly address this when possible,Low
this can be resolved without urgency,Low
please update the website,Low
request to fix minor crack in wall,Low
suggestion to paint hostel corridor,Low
no internet for past week exam tomorrow,High
electric wire sparking in my room urgent,High
food poisoning 10 students hospitalized,High
water contamination in drinking supply,High
structural damage to hostel building,High
fire hazard in electrical room,High
sewage leaking into water tank,High
result withheld without valid reason,High
forced to pay extra fees illegally,High
ragging incident not investigated,High
medical emergency no support from college,High
exam cancelled without notice,High
academic documents missing from office,High
laptop damaged due to power fluctuation,High
gas leak smell in hostel kitchen,High
wifi works fine most of the time,Low
fan is okay just slightly noisy,Low
mess is decent could use improvement,Low
library is good need more computers,Low
hostel is fine minor cleanliness issue,Low
campus is nice need more greenery,Low
classes are good need better projector,Low
sports ground is okay needs maintenance,Low
canteen prices are high suggestion only,Low
internet is available but slow at times,Low
please add more seating in reading room,Low
kindly improve the mess menu variety,Low
request to fix minor pothole at entrance,Low
suggestion to improve hostel aesthetics,Low
feedback about lab equipment quality,Low
please consider upgrading computers,Low
request for better classroom ventilation,Low
minor issue with attendance portal,Low
suggestion to add water purifier,Low
feedback on college event management,Low
urgent wifi not working since 3 days cannot submit,High
emergency power failure in exam hall,High
dangerous wiring exposed students at risk,High
immediate action needed sewage overflow,High
critical issue marks not updated before result,High
severe water shortage entire hostel,High
urgent medical issue no support from admin,High
immediate attention needed hostel flooding,High
this needs urgent resolution,High
please resolve this immediately it is critical,High
if possible kindly look into this,Low
no rush but please address this feedback,Low
this is just a small suggestion,Low
whenever convenient please fix this,Low
not urgent just a minor request,Low
please address this when you get time,Low
small improvement request for campus,Low
gentle reminder about the pending request,Low
low priority issue please fix when possible,Low
this is a minor inconvenience,Low
wifi down for 6 days no one is fixing it,High
internet not working entire hostel affected,High
network failure during online exam,High
broadband down cannot submit project,High
no connectivity since monday,High
internet cuts off during every video lecture,High
wifi completely dead in my block,High
unable to access any website since 5 days,High
network down before assignment deadline,High
entire floor has no internet for a week,High
lights in bathroom not working since 10 days,High
power cut every night no backup,High
fan stopped working in extreme heat,High
no electricity in room for 2 days,High
electrical hazard sparking wire in corridor,High
generator failed during power outage,High
electric shock received from switchboard,High
power fluctuation burnt my laptop charger,High
fuse blown entire wing without electricity,High
no power backup during storm,High
food making students vomit,High
mess served spoiled chicken,High
multiple students hospitalized after mess food,High
water in mess smells bad,High
mess kitchen has no hygiene at all,High
fungus found in food served today,High
mess food not cooked properly causing illness,High
contaminated water served in mess,High
severe stomach pain after eating mess food,High
mess has not been cleaned in weeks,High
internal marks missing before university submission,High
professor has not taken a single class in month,High
exam form rejected without valid reason,High
attendance shortage will fail me this semester,High
result withheld for no reason,High
project viva cancelled without rescheduling,High
academic portal down during exam registration,High
wrong subject allotted affecting my degree,High
lab practical marks zero without reason,High
grade not updated before final submission deadline,High
documents submitted to office but lost,High
fee payment not reflecting in system,High
admin not responding for 4 months,High
migration certificate urgently needed not issued,High
college bus stopped without any notice,High
hostel allotment cancelled last minute,High
id card not issued since joining,High
caution deposit not refunded after 1 year,High
illegal extra charges being collected,High
admission documents missing from office,High
water leakage destroying my belongings,High
roof collapsed in classroom,High
broken staircase railing student fell,High
bathroom completely non functional,High
hostel room door cannot be locked unsafe,High
drainage overflow entire corridor flooded,High
overhead tank burst flooding rooms,High
no water in entire hostel for 3 days,High
campus road completely broken vehicles damaged,High
building wall has large crack unsafe,High
wifi speed is a bit low today,Low
internet slightly slow this morning,Low
fan is making minor noise,Low
suggestion to upgrade wifi router,Low
request to change mess menu occasionally,Low
please look into minor seating issue,Low
kindly fix small crack in wall,Low
feedback about classroom temperature,Low
request for more dustbins on campus,Low
please improve garden maintenance,Low
minor issue with water pressure in tap,Low
lights slightly dim in study room,Low
request to repair broken garden bench,Low
please update college website information,Low
suggestion to extend library hours,Low
feedback about canteen prices,Low
please consider adding water cooler,Low
request for better sports facilities,Low
occasionally wifi is slow,Low
sometimes lights flicker briefly,Low
minor complaint about corridor noise,Low
please add more parking space,Low
suggestion to improve hostel painting,Low
request for better classroom chairs,Low
please fix pothole at college entrance,Low
feedback on college event organization,Low
request to add more computers in library,Low
please improve cleaning frequency,Low
suggestion about sports ground maintenance,Low
request for better ventilation in classroom,Low
this is just a small observation,Low
not urgent just wanted to inform,Low
please address when convenient,Low
minor inconvenience nothing serious,Low
small suggestion for improvement,Low
low priority feedback about campus,Low
gentle reminder about my earlier request,Low
please look into this at your leisure,Low
this can wait but kindly address eventually,Low
just a minor request no urgency,Low
wifi connectivity is generally fine,Low
mess food is okay could be better,Low
hostel is clean minor improvement needed,Low
campus is nice just some suggestions,Low
library is good need more seating,Low
classes are fine projector could be better,Low
sports ground is usable needs minor repair,Low
canteen is okay prices slightly high,Low
internet works but occasionally drops,Low
power supply is stable minor issue,Low
wifi router in hostel not responding,High
internet disconnected during online exam,High
network outage affecting research submission,High
wifi signal completely lost in library,High
internet failure during internship interview,High
broadband outage affecting whole academic block,High
wifi repeatedly disconnecting during lectures,High
campus network down since yesterday,High
unable to access university portal due to internet failure,High
wifi unavailable in hostel study room,High
power outage in entire hostel block,High
electric sparks seen from classroom switchboard,High
room lights not working before exams,High
power failure in computer lab during project work,High
electric wiring hanging loose in corridor,High
frequent power cuts damaging electronics,High
generator backup not starting during outage,High
electric board overheating in hostel room,High
circuit breaker tripping repeatedly,High
electric panel making loud buzzing sound,High
mess food smelled rotten today,High
students complaining of stomach pain after lunch,High
uncooked rice served in mess today,High
food served cold and stale,High
hair found in mess food multiple times,High
drinking water in mess tastes contaminated,High
mess kitchen floor extremely dirty,High
expired milk served during breakfast,High
multiple insects seen near food counter,High
food served under unhygienic conditions,High
marks missing in academic portal,High
result published with incorrect grades,High
attendance marked absent despite presence,High
assignment grading unfair and inconsistent,High
professor not uploading marks on portal,High
internal exam marks missing before deadline,High
wrong cgpa displayed on portal,High
faculty cancelling lectures without notice,High
lab instructor absent during practical exam,High
academic grievance not addressed for months,High
scholarship payment still pending,High
bonafide certificate request ignored,High
administration office closed during working hours,High
fee receipt not generated after payment,High
documents submitted but not processed,High
migration certificate urgently required,High
duplicate fee charged by mistake,High
complaint email to admin unanswered,High
library card not issued even after request,High
transport service suddenly stopped,High
water dripping from hostel ceiling,High
bathroom tap broken flooding the floor,High
hostel corridor filled with sewage water,High
broken window glass causing safety issue,High
room wall damp and mold growing,High
drain blockage causing foul smell,High
bathroom door broken cannot close,High
water tank leaking on terrace,High
pipe leakage damaging hostel walls,High
floor tiles broken causing tripping hazard,High
wifi working but speed could improve,Low
internet slightly unstable at night,Low
fan wobbling slightly while rotating,Low
window latch slightly loose,Low
suggestion to add more charging ports,Low
canteen seating limited during lunch time,Low
request to repaint classroom walls,Low
minor stain on classroom projector screen,Low
garden benches slightly damaged,Low
request to plant more trees on campus,Low
library chairs uncomfortable for long study,Low
classroom curtains slightly torn,Low
notice board information outdated,Low
hostel corridor lighting slightly dim,Low
suggestion to organize campus cleanliness drive,Low
minor dust accumulation in study hall,Low
reading room temperature slightly warm,Low
request to add more water coolers,Low
feedback about slow elevator door closing,Low
small pothole near parking area,Low
wifi signal weak in one corner of library,Low
internet takes time to reconnect sometimes,Low
fan regulator slightly loose,Low
tap dripping slowly in washroom,Low
suggestion to add more dustbins near canteen,Low
please improve campus signage boards,Low
hostel staircase paint peeling off,Low
small crack noticed in corridor wall,Low
request to improve campus landscaping,Low
reading room could use better lighting,Low
campus map not visible clearly,Low
suggestion to add more cycle stands,Low
minor delay in mess dinner serving time,Low
request to maintain sports equipment better,Low
canteen queue management could improve,Low
please consider installing vending machines,Low
library air circulation could improve,Low
classroom speakers slightly low volume,Low
suggestion to update timetable display screen,Low
parking lines faded need repainting,Low
wifi works but slower during evenings,Low
projector brightness slightly low in class,Low
notice board glass slightly cracked,Low
suggestion to install more campus lights,Low
hostel notice board outdated announcements,Low
request to provide shoe racks in hostel,Low
minor inconvenience with lift waiting time,Low
reading hall closing time could be extended,Low
suggestion to organize more technical events,Low
campus pathways need minor cleaning,Low
water cooler working but flow slow,Low
canteen menu board difficult to read,Low
small request to improve hostel aesthetics,Low
wifi signal extremely weak in hostel block C,High
internet disconnects every 5 minutes during lectures,High
network completely down in computer lab,High
wifi not reachable on second floor hostel,High
campus internet outage affecting submissions,High
wifi router blinking red since morning,High
unable to login to campus network portal,High
internet unavailable in research lab,High
network outage during online viva,High
wifi stopped working during assignment upload,High
power outage in entire academic building,High
electric sparks visible from switch in classroom,High
hostel corridor lights not working at night,High
electrical burning smell from power board,High
fan stopped working during extreme heat,High
computer lab lost power during exam,High
exposed electric wires near staircase,High
generator failed during campus blackout,High
power surge damaged computer in lab,High
electric socket giving shocks in hostel room,High
mess food smelled spoiled today,High
rice undercooked and served in mess,High
students complaining of stomach pain after dinner,High
insects crawling near mess serving counter,High
mess plates not properly cleaned,High
milk served during breakfast was sour,High
food served cold repeatedly in mess,High
mess kitchen area very unhygienic,High
water used for cooking tastes bad,High
multiple students vomiting after lunch,High
internal marks missing on portal again,High
exam marks uploaded incorrectly,High
attendance marked absent for full week wrongly,High
faculty cancelled lectures entire week,High
lab marks not entered before deadline,High
assignment submission portal crashed,High
cgpa calculation incorrect on portal,High
professor refusing to review exam paper,High
project marks not updated after viva,High
course registration system down,High
scholarship portal not responding,High
bonafide certificate request pending for weeks,High
duplicate fee deducted from bank account,High
college office closed during working hours,High
migration certificate delayed urgently required,High
complaint emails ignored by administration,High
documents submitted but not acknowledged,High
identity card not issued yet,High
hostel allotment cancelled suddenly,High
transport bus stopped without notice,High
water leaking from ceiling in hostel,High
bathroom drain clogged causing overflow,High
hostel walls damp and mold growing,High
pipe burst in hostel washroom,High
broken tiles causing slipping hazard,High
sewage smell spreading in corridor,High
window glass broken in classroom,High
water tank leaking continuously,High
room door latch broken cannot lock,High
ceiling plaster falling in study hall,High
wifi slightly slower today,Low
internet lagging briefly in evening,Low
fan making light humming sound,Low
window hinge slightly loose,Low
suggestion to improve garden lighting,Low
canteen tables sometimes not cleaned,Low
request to add more seating in library,Low
minor dust in classroom corners,Low
garden grass needs trimming,Low
suggestion for more cultural events,Low
reading room chairs uncomfortable,Low
classroom whiteboard slightly worn,Low
notice board information outdated,Low
hostel corridor paint peeling slightly,Low
suggestion to add vending machine,Low
minor crack on classroom wall,Low
request to upgrade lab computers,Low
canteen queue sometimes long,Low
parking lines faded slightly,Low
wifi signal weak in one classroom,Low
internet takes time to reconnect,Low
fan regulator slightly stiff,Low
tap dripping slowly in washroom,Low
suggestion to add more dustbins near gate,Low
campus map board not visible clearly,Low
hostel staircase railing paint faded,Low
request for more benches in garden,Low
library air circulation could improve,Low
classroom speakers slightly low volume,Low
canteen menu board hard to read,Low
sports ground grass uneven,Low
reading hall lights slightly dim,Low
small pothole near parking area,Low
suggestion to install solar lights,Low
request to update campus website info,Low
library closing time could be extended,Low
request to maintain sports equipment,Low
campus signboards slightly damaged,Low
wifi works but drops occasionally,Low
projector brightness slightly low,Low
notice board glass scratched,Low
suggestion to plant more trees,Low
hostel notice board outdated,Low
request to install shoe racks,Low
lift waiting time slightly long,Low
reading room temperature warm,Low
suggestion for more study tables,Low
campus pathways slightly dusty,Low
water cooler flow slightly slow,Low
canteen seating limited sometimes,Low
request to repaint hostel corridor,Low
small improvement suggestion for campus,Low
minor inconvenience in hostel laundry,Low
wifi stable but slow at night,Low
internet buffering during video lectures occasionally,Low
fan vibration slightly noticeable,Low
suggestion to upgrade classroom projector,Low
request to maintain campus lawns better,Low
library shelves slightly dusty,Low
minor crack near hostel staircase wall,Low
sports equipment slightly worn out,Low
canteen noise level sometimes high,Low
reading room chairs need cushioning,Low
request to add charging points in library,Low
hostel hallway lighting dim in one corner,Low
suggestion for more campus lighting,Low
parking space markings unclear,Low
notice board pins missing,Low
request to improve lab ventilation,Low
canteen water dispenser slow,Low
minor issue with classroom microphone,Low
suggestion to repaint campus signboards,Low
hostel balcony railing paint fading,Low
library tables slightly scratched,Low
request to improve campus cleanliness drive,Low
small patch of grass missing near walkway,Low
campus benches slightly dusty,Low
request to replace broken chalk holders,Low
classroom curtains slightly torn,Low
minor request to add more fans in hall,Low
suggestion to install digital notice board,Low
wifi router light blinking but working,Low
internet speed fluctuates occasionally,Low
fan speed slightly lower than usual,Low
tap handle slightly loose,Low
suggestion to organize more tech workshops,Low
library book arrangement confusing,Low
canteen floor slightly slippery,Low
minor feedback about hostel cleaning schedule,Low
campus drainage cover slightly loose,Low
request to repaint garden benches,Low
notice board frame slightly tilted,Low
reading room windows dusty,Low
suggestion to add recycling bins,Low
minor delay in hostel water supply sometimes,Low
sports ground lighting slightly dim,Low
request to improve campus wifi coverage,Low
classroom clock not working properly,Low
suggestion for better campus maps,Low
library queue sometimes long,Low
canteen service slightly slow,Low
hostel washing area needs cleaning,Low
request to add more plants in corridors,Low
minor request to update event calendar,Low
campus road markings faded,Low
suggestion to install hand sanitizer stations,Low
minor noise from hostel generator room,Low
request to improve notice board design,Low
library chairs slightly shaky,Low
canteen trays sometimes unavailable,Low
reading hall tables slightly uneven,Low
minor request to fix locker handles,Low
suggestion to add more indoor plants,Low
campus entrance lighting slightly dim,Low
wifi login page sometimes slow,Low
internet stable but latency slightly high,Low
fan cover slightly dusty,Low
tap water pressure slightly low,Low
request to clean hostel terrace,Low
canteen suggestion to add healthy options,Low
library request for more power outlets,Low
sports ground benches slightly broken,Low
minor improvement suggestion for classroom layout,Low
campus pathways need sweeping more often,Low
request to upgrade classroom speakers,Low
small issue with classroom curtain rod,Low
hostel staircase corner slightly cracked,Low
reading room wall paint faded,Low
suggestion to add campus information kiosk,Low
canteen water filter maintenance needed,Low
library book return counter slow sometimes,Low
minor suggestion to improve campus aesthetics,Low
request to install umbrella stands near entrance,Low
