professor behavior rude,Academic
teacher absent frequently,Academic
teacher absent frequently,Academic
too many assignments given,Academic
lecture starts late,Academic
lecture starts late,Academic
exam schedule confusing,Academic
too many assignments given,Academic
lecture starts late,Academic
class schedule not clear,Academic
lecture starts late,Academic
class schedule not clear,Academic
teacher not explaining properly,Academic
class schedule not clear,Academic
professor behavior rude,Academic
exam schedule confusing,Academic
leave request not approved,Administration
leave request not approved,Administration
id card issue unresolved,Administration
documents verification delayed,Administration
documents verification delayed,Administration
id card issue unresolved,Administration
documents verification delayed,Administration
scholarship not processed,Administration
administration staff rude,Administration
scholarship not processed,Administration
administration staff rude,Administration
administration staff rude,Administration
leave request not approved,Administration
delay in hostel allotment,Administration
complaint office not responding,Administration
id card issue unresolved,Administration
leave request not approved,Administration
leave request not approved,Administration
administration staff rude,Administration
fee receipt not updated,Administration
fan not working,Electrical
fans not working in room,Electrical
ceiling fan stopped working,Electrical
fan not rotating at all,Electrical
room fan is broken,Electrical
hostel fan not working,Electrical
fan making loud noise,Electrical
fan stopped suddenly,Electrical
fan speed very slow,Electrical
no fan in my room,Electrical
fan blade broken,Electrical
fan switch not working,Electrical
lights not working in room,Electrical
tube light flickering constantly,Electrical
electric socket not working,Electrical
power outage since morning,Electrical
switchboard damaged in hostel,Electrical
electricity gone in block,Electrical
no electricity since last night,Electrical
bulb not working in room,Electrical
electric shock from socket,Electrical
wiring problem in hostel,Electrical
food is very bad,Mess
mess food quality is poor,Mess
food not cooked properly today,Mess
mess hygiene very poor,Mess
food served is cold always,Mess
mess menu is repetitive daily,Mess
not enough food served in mess,Mess
mess plates are dirty,Mess
food has insects in it,Mess
mess food smells bad,Mess
vegetables not fresh in mess,Mess
mess timing is very bad,Mess
wifi not working in hostel,Network
internet speed is very slow,Network
campus wifi disconnects often,Network
no internet since last night,Network
wifi signal very weak in room,Network
unable to connect to campus wifi,Network
internet stops working at night,Network
network problem in hostel block,Network
wifi password not working,Network
broadband connection down,Network
water supply not available,Infrastructure
water leakage in hostel room,Infrastructure
washroom very dirty always,Infrastructure
toilet blocked in hostel,Infrastructure
library closes too early,Infrastructure
library chairs are broken,Infrastructure
hostel gate lock is broken,Infrastructure
building wall has cracks,Infrastructure
classroom benches are damaged,Infrastructure
drinking water not clean,Infrastructure
bathroom cleaning not done,Infrastructure
water not coming since morning,Infrastructure
professor not coming to class,Academic
teacher absent very frequently,Academic
faculty not teaching properly,Academic
lecture starts very late always,Academic
exam schedule not announced,Academic
too many assignments given,Academic
class schedule keeps changing,Academic
professor behavior is rude,Academic
teacher not explaining clearly,Academic
syllabus not completed on time,Academic
doubt sessions not conducted,Academic
lab sessions cancelled frequently,Academic
leave request not approved,Administration
id card issue not resolved,Administration
documents verification delayed,Administration
scholarship not processed yet,Administration
administration staff very rude,Administration
complaint not responded to,Administration
fee receipt not updated,Administration
hostel allotment delayed,Administration
bonafide certificate delayed,Administration
no response from admin office,Administration
transfer certificate not issued,Administration
fan not working,Electrical
fans not working,Electrical
fan is not working,Electrical
ceiling fan stopped,Electrical
fan not rotating,Electrical
fan in room broken,Electrical
room fan not working,Electrical
fan stopped working,Electrical
hostel fan not working,Electrical
fan making loud noise,Electrical
fan not working,Electrical
fans not working,Electrical
fans are not working,Electrical
ceiling fan stopped,Electrical
fan stopped working,Electrical
fan not rotating,Electrical
fan is broken,Electrical
room fan broken,Electrical
fan making noise,Electrical
fan very slow,Electrical
fan not working well,Electrical
fans not working well,Electrical
fan problem in room,Electrical
no fan working,Electrical
fan issue in hostel,Electrical
lights not working,Electrical
bulb not working,Electrical
power cut in hostel,Electrical
electricity gone,Electrical
socket not working,Electrical
switchboard broken,Electrical
tube light not working,Electrical
electric problem,Electrical
no electricity,Electrical
power outage,Electrical
wifi not working,Network
internet not working,Network
no internet,Network
wifi very slow,Network
internet speed slow,Network
wifi disconnecting,Network
no wifi,Network
internet gone,Network
network problem,Network
wifi issue,Network
unable to connect wifi,Network
internet not accessible,Network
wifi not connecting,Network
campus wifi down,Network
broadband not working,Network
food is bad,Mess
food quality bad,Mess
mess food bad,Mess
food not good,Mess
food tastes bad,Mess
food not cooked,Mess
mess hygiene bad,Mess
food cold in mess,Mess
mess food terrible,Mess
food not fresh,Mess
mess dirty,Mess
food quantity less,Mess
menu repetitive,Mess
mess plates dirty,Mess
food has insects,Mess
water not coming,Infrastructure
no water supply,Infrastructure
water leakage,Infrastructure
washroom dirty,Infrastructure
toilet blocked,Infrastructure
bathroom not clean,Infrastructure
library closed early,Infrastructure
library chairs broken,Infrastructure
hostel gate broken,Infrastructure
building damaged,Infrastructure
classroom benches broken,Infrastructure
drinking water problem,Infrastructure
water supply issue,Infrastructure
hostel infrastructure bad,Infrastructure
washroom cleaning not done,Infrastructure
professor not coming,Academic
teacher absent,Academic
faculty not teaching,Academic
lecture starting late,Academic
exam schedule not given,Academic
too many assignments,Academic
class schedule changed,Academic
professor rude,Academic
teacher not explaining,Academic
syllabus not completed,Academic
lab cancelled,Academic
doubt class not held,Academic
faculty irregular,Academic
teacher not available,Academic
professor missing class,Academic
leave not approved,Administration
id card not given,Administration
documents delayed,Administration
scholarship not processed,Administration
admin staff rude,Administration
complaint not resolved,Administration
fee receipt missing,Administration
hostel allotment delayed,Administration
certificate not issued,Administration
admin not responding,Administration
bonafide delayed,Administration
admin office closed,Administration
wifi not working since days,Network
wifi not working since 2 days,Network
internet not working since morning,Network
wifi down since yesterday,Network
no internet for 2 days,Network
wifi issue since last night,Network
please resolve this,General
kindly resolve this,General
please look into this,General
request you to resolve,General
please fix this,General
thank you,General
thanks,General
good morning,General
good evening,General
kindly do the needful,General
i want to complain,General
i would like to report,General
please take action,General
hoping for resolution,General
text,category
wifi very slow in hostel room,Network
internet disconnects during online classes,Network
campus wifi not reachable in my block,Network
network signal weak in hostel building,Network
internet keeps dropping frequently,Network
wifi authentication failing,Network
unable to access internet in library,Network
wifi connection unstable at night,Network
internet speed extremely slow today,Network
wifi not available in hostel corridor,Network
room light stopped working suddenly,Electrical
socket near my bed not functioning,Electrical
fan in my room vibrating loudly,Electrical
tube light not turning on,Electrical
electric switch damaged in hostel room,Electrical
power fluctuation in hostel building,Electrical
electricity cut in our hostel floor,Electrical
fan regulator not working properly,Electrical
bulb fused in hostel corridor,Electrical
switchboard sparks when used,Electrical
mess food quality getting worse daily,Mess
food served in mess is not fresh,Mess
mess food too oily and unhealthy,Mess
breakfast items finished too early,Mess
rice not cooked properly in mess,Mess
mess kitchen hygiene questionable,Mess
food portions very small in mess,Mess
mess staff not maintaining cleanliness,Mess
mess food served very late today,Mess
food taste very poor in hostel mess,Mess
water leaking from hostel ceiling,Infrastructure
washroom drainage blocked,Infrastructure
classroom projector not working,Infrastructure
library air conditioning not working,Infrastructure
broken tiles in hostel corridor,Infrastructure
drinking water filter not working,Infrastructure
dustbins not cleaned regularly,Infrastructure
hostel staircase lights not working,Infrastructure
parking area lights damaged,Infrastructure
college building maintenance needed,Infrastructure
teacher skipping scheduled classes,Academic
lecture cancelled without notice,Academic
exam timetable released very late,Academic
faculty not responding to doubts,Academic
lab equipment not working properly,Academic
course syllabus not finished yet,Academic
teacher rushing through topics,Academic
class timing changed suddenly,Academic
faculty not providing study material,Academic
practical sessions not conducted,Academic
administration delaying scholarship process,Administration
fee payment portal not updating status,Administration
hostel room allocation still pending,Administration
bonafide certificate request ignored,Administration
staff not responding to email queries,Administration
document verification taking too long,Administration
identity card printing delayed,Administration
complaint submitted but no response,Administration
administrative office closed during working hours,Administration
student requests ignored by admin staff,Administration
internet not available in computer lab,Network
wifi signal disappears sometimes,Network
network issue affecting online exams,Network
campus wifi login page not loading,Network
wifi password recently changed not informed,Network
internet lag during video calls,Network
network coverage poor in hostel rooms,Network
internet services down in hostel area,Network
wifi router not working properly,Network
campus internet outage frequently,Network
ceiling fan shaking while running,Electrical
fan motor making strange noise,Electrical
electric wire exposed near socket,Electrical
light switch loose in hostel room,Electrical
power trip happening frequently,Electrical
extension board sparks sometimes,Electrical
fan suddenly stops after few minutes,Electrical
light brightness fluctuating,Electrical
electric panel open and unsafe,Electrical
hostel electricity unstable,Electrical
food served cold in dinner,Mess
mess vegetables not washed properly,Mess
plates not cleaned properly in mess,Mess
mess menu lacks variety,Mess
mess drinking water not clean,Mess
food served in insufficient quantity,Mess
mess kitchen smells bad,Mess
breakfast quality very poor,Mess
mess serving area not hygienic,Mess
food preparation very careless,Mess
water tank overflow in hostel terrace,Infrastructure
hostel corridor very dirty,Infrastructure
library chairs uncomfortable and damaged,Infrastructure
bathroom door broken in hostel,Infrastructure
classroom fan not installed,Infrastructure
college roads full of potholes,Infrastructure
campus dustbins overflowing,Infrastructure
hostel walls need repainting,Infrastructure
drainage smell near hostel block,Infrastructure
sports ground maintenance poor,Infrastructure
exam results delayed unnecessarily,Academic
faculty giving unclear instructions,Academic
assignment deadlines too close,Academic
teacher not allowing doubt clarification,Academic
class attendance not updated properly,Academic
lecture slides not shared with students,Academic
project guidance not provided properly,Academic
lab assistants not available,Academic
study materials not uploaded online,Academic
internal marks not updated,Academic
administration phone not reachable,Administration
office staff giving wrong information,Administration
student request pending for weeks,Administration
certificate collection process very slow,Administration
hostel leave approval delayed,Administration
documents submitted but not verified,Administration
administrative response very slow,Administration
student grievances ignored by office,Administration
scholarship portal showing error,Administration
fee refund request not processed,Administration
text,category
good morning sir i would like to report an issue,General
hello sir i want to file a complaint,General
good evening madam i have a problem to report,General
hello i want to register a complaint,General
good morning i am a hostel student and want to report an issue,General
sir i would like to inform about a problem,General
madam i would like to bring an issue to your notice,General
hello administration team i have a complaint,General
good morning respected sir i need help regarding an issue,General
i want to complain about a problem in the hostel,General
good evening sir kindly look into this issue,General
hello sir please consider my complaint,General
respected sir i want to report something,General
sir please check this issue,General
madam kindly help to resolve this issue,General
hello i am a student and i want to raise a complaint,General
good morning sir please help with this issue,General
i would like to inform about a problem in campus,General
sir kindly take action on this complaint,General
hello sir requesting you to resolve this issue,General
good morning sir i am a student from hostel block a,General
hello madam i need help regarding a problem,General
sir i want to raise a grievance,General
good evening sir i am writing to report an issue,General
madam kindly address this issue,General
hello respected sir i would like to complain,General
sir please take this complaint seriously,General
i want to report an issue in our hostel,General
good morning sir kindly resolve this problem,General
hello administration i need assistance,General
sir i would like to submit a grievance,General
madam i want to inform about a problem,General
hello sir kindly check this complaint,General
good morning sir requesting help regarding an issue,General
sir please do the needful,General
madam kindly resolve this complaint,General
hello sir please take necessary action,General
good evening sir kindly look into this matter,General
i am writing to inform about an issue,General
please help to resolve this complaint,General
good evening classroom benches damaged,Infrastructure
hi sir kindly check because class schedule not clear,Academic
there is an issue where network issue in hostel block,Network
hello sir fan making loud noise,Electrical
hello sir please note that tube light flickering,Electrical
hello sir i am facing a problem where water supply not available,Infrastructure
hello bathroom cleaning not done,Infrastructure
good evening madam there is a complaint that bulb fused in corridor,Electrical
hi sir i want to inform that internet speed very slow,Network
respected sir kindly check because wifi disconnecting frequently,Network
i want to inform that tube light flickering,Electrical
respected sir i am facing a problem where internet not accessible in library,Network
good morning there is an issue where internet not accessible in library,Network
good morning sir i want to inform that library chairs broken,Infrastructure
good morning sir i want to inform that washroom not clean,Infrastructure
please resolve as drinking water problem,Infrastructure
good evening madam food smells bad,Mess
hello sir please resolve as hostel gate lock broken,Infrastructure
good evening madam kindly check because certificate not issued,Administration
good morning sir please note that certificate not issued,Administration
good evening food served cold,Mess
good evening madam kindly check because internet speed very slow,Network
good morning sir kindly check because professor not explaining properly,Academic
good morning please resolve as fee receipt not updated,Administration
hi sir i want to report that class schedule not clear,Academic
hi sir there is an issue where food smells bad,Mess
good morning i would like to complain that food served cold,Mess
hi sir please note that wiring problem in room,Electrical
good morning i want to inform that vegetables not fresh,Mess
good morning sir i want to report that food smells bad,Mess
hello i am facing a problem where admin office not responding,Administration
hi sir there is an issue where unable to connect to campus wifi,Network
i would like to complain that id card issue unresolved,Administration
good evening madam i would like to complain that syllabus not completed,Academic
good evening there is a complaint that washroom not clean,Infrastructure
i am facing a problem where fee receipt not updated,Administration
respected sir please note that building maintenance required,Infrastructure
good evening i would like to complain that tube light flickering,Electrical
good morning sir there is a complaint that leave request not approved,Administration
hello sir i want to inform that lab sessions cancelled,Academic
hello administration i want to report that scholarship not processed,Administration
good morning sir i want to report that complaint office not responding,Administration
good morning sir there is a complaint that bulb fused in corridor,Electrical
hi sir i am facing a problem where syllabus not completed,Academic
good evening madam i am facing a problem where wiring problem in room,Electrical
hello administration i would like to complain that study materials not uploaded,Academic
hello sir please note that bathroom cleaning not done,Infrastructure
hi sir i want to inform that plates are dirty in mess,Mess
good evening madam i want to report that administration staff rude,Administration
good evening kindly check because power outage in hostel block,Electrical
kindly check because syllabus not completed,Academic
good morning sir there is a complaint that library chairs broken,Infrastructure
good morning sir there is a complaint that vegetables not fresh,Mess
good morning sir i am facing a problem where fee receipt not updated,Administration
good evening i am facing a problem where food served cold,Mess
hello i want to report that wifi login page not loading,Network
good evening madam there is a complaint that bulb fused in corridor,Electrical
good evening there is a complaint that building maintenance required,Infrastructure
hi sir i am facing a problem where wiring problem in room,Electrical
good morning i would like to complain that admin office not responding,Administration
good morning library chairs broken,Infrastructure
hello administration i would like to complain that washroom not clean,Infrastructure
hello sir there is a complaint that washroom not clean,Infrastructure
good evening madam there is a complaint that unable to connect to campus wifi,Network
please resolve as wifi login page not loading,Network
wifi disconnecting frequently,Network
hello i want to report that switchboard damaged,Electrical
hello i would like to complain that wifi login page not loading,Network
hello i would like to complain that faculty not responding to doubts,Academic
good morning i am facing a problem where no internet in hostel room,Network
good morning please resolve as wifi login page not loading,Network
good morning sir please note that mess menu repetitive,Mess
i would like to complain that food not cooked properly,Mess
there is a complaint that electricity gone since morning,Electrical
good morning sir teacher absent frequently,Academic
good morning sir kindly check because tube light flickering,Electrical
hello i want to inform that fan making loud noise,Electrical
i want to inform that hostel allotment delayed,Administration
good morning i want to inform that fan speed very slow,Electrical
good morning i would like to complain that mess hygiene is poor,Mess
good evening madam i am facing a problem where mess menu repetitive,Mess
i want to report that wifi login page not loading,Network
good evening kindly check because food served cold,Mess
good morning sir i want to inform that documents verification delayed,Administration
good morning kindly check because mess food quality very bad,Mess
good morning please note that hostel allotment delayed,Administration
respected sir i want to report that admin office not responding,Administration
good morning scholarship not processed,Administration
good evening madam i want to inform that lab sessions cancelled,Academic
hello there is an issue where wifi disconnecting frequently,Network
good evening i would like to complain that hostel gate lock broken,Infrastructure
i want to report that drinking water problem,Infrastructure
hi sir i would like to complain that water leakage in hostel,Infrastructure
good morning i want to report that switchboard damaged,Electrical
hello administration i want to report that drinking water problem,Infrastructure
respected sir kindly check because drinking water problem,Infrastructure
good evening exam schedule confusing,Academic
hi sir i would like to complain that breakfast quality poor,Mess
good morning sir there is a complaint that syllabus not completed,Academic
good evening madam unable to connect to campus wifi,Network
good morning i want to report that fan making loud noise,Electrical
i would like to complain that scholarship not processed,Administration
good morning sir i want to inform that teacher absent frequently,Academic
good morning kindly check because id card issue unresolved,Administration
good morning please resolve as internet not accessible in library,Network
good evening madam please note that complaint office not responding,Administration
good evening madam please resolve as not enough food in mess,Mess
good morning there is a complaint that mess hygiene is poor,Mess
respected sir please note that professor not explaining properly,Academic
hello sir please resolve as id card issue unresolved,Administration
there is an issue where wifi signal very weak,Network
hello sir i want to report that internet speed very slow,Network
hi sir kindly check because wifi not working in hostel,Network
hello please resolve as tube light flickering,Electrical
hello library chairs broken,Infrastructure
good evening madam bathroom cleaning not done,Infrastructure
good morning i want to report that too many assignments given,Academic
respected sir please resolve as scholarship not processed,Administration
hello administration drinking water problem,Infrastructure
hello sir there is an issue where washroom not clean,Infrastructure
good morning sir there is a complaint that mess hygiene is poor,Mess
hello sir i am facing a problem where electricity gone since morning,Electrical
good evening madam there is an issue where study materials not uploaded,Academic
good morning i would like to complain that unable to connect to campus wifi,Network
hi sir please note that hostel gate lock broken,Infrastructure
good morning please resolve as hostel allotment delayed,Administration
hello i want to report that water leakage in hostel,Infrastructure
good evening madam please note that complaint office not responding,Administration
respected sir i would like to complain that internet not accessible in library,Network
hello sir there is an issue where hostel allotment delayed,Administration
hi sir please note that no internet in hostel room,Network
hello i would like to complain that too many assignments given,Academic
good evening madam i want to inform that admin office not responding,Administration
hello i want to inform that too many assignments given,Academic
i want to report that food not cooked properly,Mess
respected sir please note that classroom benches damaged,Infrastructure
respected sir building maintenance required,Infrastructure
good morning i am facing a problem where lab sessions cancelled,Academic
hello sir please resolve as building maintenance required,Infrastructure
good morning sir i want to report that mess hygiene is poor,Mess
good evening i am facing a problem where hostel allotment delayed,Administration
good evening please note that fan making loud noise,Electrical
good morning food served cold,Mess
hello administration there is an issue where tube light flickering,Electrical
good morning there is a complaint that tube light flickering,Electrical
respected sir there is an issue where campus wifi down today,Network
hello please note that hostel allotment delayed,Administration
hi sir i want to inform that documents verification delayed,Administration
good evening please resolve as internet not accessible in library,Network
good morning sir i want to inform that campus wifi down today,Network
hi sir please note that wifi login page not loading,Network
hello sir please note that lab sessions cancelled,Academic
good evening please resolve as internet not accessible in library,Network
good evening i want to report that wifi signal very weak,Network
good morning sir i want to report that building maintenance required,Infrastructure
good evening madam i want to inform that switchboard damaged,Electrical
hi sir there is a complaint that study materials not uploaded,Academic
hello sir please resolve as water leakage in hostel,Infrastructure
good evening madam i am facing a problem where mess menu repetitive,Mess
hello sir i would like to complain that fan speed very slow,Electrical
good morning sir i am facing a problem where faculty not responding to doubts,Academic
hello sir please note that no internet in hostel room,Network
good morning sir kindly check because wifi signal very weak,Network
there is an issue where mess food quality very bad,Mess
good evening there is an issue where breakfast quality poor,Mess
hello i want to inform that hostel allotment delayed,Administration
i am facing a problem where bulb fused in corridor,Electrical
hello sir there is an issue where water supply not available,Infrastructure
hello i want to inform that wifi disconnecting frequently,Network
hello there is an issue where complaint office not responding,Administration
hi sir please note that power outage in hostel block,Electrical
please resolve as wifi disconnecting frequently,Network
good morning i want to inform that socket not working,Electrical
there is an issue where washroom not clean,Infrastructure
hello sir i want to inform that internet speed very slow,Network
good morning i am facing a problem where certificate not issued,Administration
hello administration there is an issue where admin office not responding,Administration
respected sir please note that hostel allotment delayed,Administration
good evening madam there is an issue where food smells bad,Mess
good evening madam i am facing a problem where fan making loud noise,Electrical
good morning sir please resolve as certificate not issued,Administration
hi sir i want to report that exam schedule confusing,Academic
good evening madam please resolve as class schedule not clear,Academic
good evening madam i am facing a problem where no internet in hostel room,Network
lecture starts late,Academic
hello administration i want to inform that hostel gate lock broken,Infrastructure
hello sir kindly check because wifi signal very weak,Network
good morning water leakage in hostel,Infrastructure
hello administration there is a complaint that socket not working,Electrical
hello i want to report that administration staff rude,Administration
good evening i want to report that syllabus not completed,Academic
good morning sir i would like to complain that too many assignments given,Academic
good evening please note that lab sessions cancelled,Academic
hello administration please resolve as leave request not approved,Administration
respected sir there is a complaint that mess hygiene is poor,Mess
good evening madam administration staff rude,Administration
hello i am facing a problem where vegetables not fresh,Mess
there is an issue where class schedule not clear,Academic
hello administration there is a complaint that building maintenance required,Infrastructure
hi sir i want to inform that power outage in hostel block,Electrical
respected sir there is an issue where fan making loud noise,Electrical
hi sir i want to report that campus wifi down today,Network
hello administration please note that water leakage in hostel,Infrastructure
good morning sir kindly check because fee receipt not updated,Administration
good morning i want to inform that tube light flickering,Electrical
good morning i would like to complain that socket not working,Electrical
hello sir please note that food not cooked properly,Mess
good evening madam i would like to complain that food not cooked properly,Mess
there is a complaint that mess food quality very bad,Mess
hello sir there is an issue where mess menu repetitive,Mess
hi sir please note that internet not accessible in library,Network
hi sir please note that mess hygiene is poor,Mess
good morning sir i would like to complain that hostel allotment delayed,Administration
hi sir please note that building maintenance required,Infrastructure
please resolve as professor not explaining properly,Academic
i would like to complain that water supply not available,Infrastructure
good morning sir internet speed very slow,Network
hello administration washroom not clean,Infrastructure
i want to inform that unable to connect to campus wifi,Network
respected sir kindly check because power outage in hostel block,Electrical
good morning please resolve as internet not accessible in library,Network
good evening please note that washroom not clean,Infrastructure
hello administration please resolve as class schedule not clear,Academic
hello administration fan speed very slow,Electrical
good morning kindly check because wifi signal very weak,Network
hi sir kindly check because food not cooked properly,Mess
good evening madam there is an issue where washroom not clean,Infrastructure
good morning please resolve as hostel allotment delayed,Administration
good morning sir certificate not issued,Administration
hello i want to inform that study materials not uploaded,Academic
good morning sir i want to report that vegetables not fresh,Mess
good morning i am facing a problem where network issue in hostel block,Network
hello sir i am facing a problem where mess menu repetitive,Mess
hello administration i am facing a problem where food smells bad,Mess
good evening madam i am facing a problem where lab sessions cancelled,Academic
hi sir i want to report that fee receipt not updated,Administration
good evening madam there is an issue where lab sessions cancelled,Academic
hi sir i want to report that tube light flickering,Electrical
kindly check because wifi disconnecting frequently,Network
hi sir there is a complaint that unable to connect to campus wifi,Network
good evening madam kindly check because wiring problem in room,Electrical
good morning sir kindly check because lab sessions cancelled,Academic
good morning sir i am facing a problem where internet not accessible in library,Network
good evening please note that wiring problem in room,Electrical
good morning hostel allotment delayed,Administration
good morning sir there is a complaint that wifi disconnecting frequently,Network
good morning please resolve as fan making loud noise,Electrical
good evening madam please note that drinking water problem,Infrastructure
good evening madam there is an issue where class schedule not clear,Academic
hello sir there is a complaint that teacher absent frequently,Academic
good evening madam i am facing a problem where class schedule not clear,Academic
good evening please note that building maintenance required,Infrastructure
good morning sir there is a complaint that exam schedule confusing,Academic
good evening i want to inform that certificate not issued,Administration
hi sir i want to report that teacher absent frequently,Academic
hello not enough food in mess,Mess
there is a complaint that plates are dirty in mess,Mess
good evening madam i would like to complain that food not cooked properly,Mess
hello sir i want to inform that too many assignments given,Academic
good evening there is a complaint that teacher absent frequently,Academic
good evening madam i would like to complain that classroom benches damaged,Infrastructure
good morning sir i am facing a problem where internet speed very slow,Network
there is a complaint that hostel allotment delayed,Administration
hello sir i want to report that mess food quality very bad,Mess
hi sir please resolve as food served cold,Mess
hello administration there is a complaint that wifi login page not loading,Network
good morning there is a complaint that fan making loud noise,Electrical
good morning sir i want to inform that professor not explaining properly,Academic
good evening food not cooked properly,Mess
hi sir there is a complaint that wiring problem in room,Electrical
hello sir there is a complaint that food smells bad,Mess
hello i want to inform that lecture starts late,Academic
good morning please note that classroom benches damaged,Infrastructure
respected sir i want to inform that no internet in hostel room,Network
good evening madam please note that certificate not issued,Administration
hello sir please resolve as bulb fused in corridor,Electrical
good evening i want to report that internet not accessible in library,Network
hello i am facing a problem where unable to connect to campus wifi,Network
good evening madam please note that no internet in hostel room,Network
good evening madam please resolve as food smells bad,Mess
hello i would like to complain that professor not explaining properly,Academic
hello sir there is an issue where fee receipt not updated,Administration
good evening madam i am facing a problem where teacher absent frequently,Academic
hello administration i want to inform that mess hygiene is poor,Mess
hello administration there is a complaint that professor not explaining properly,Academic
good morning sir i am facing a problem where water leakage in hostel,Infrastructure
good evening there is a complaint that certificate not issued,Administration
respected sir faculty not responding to doubts,Academic
good evening please resolve as hostel allotment delayed,Administration
respected sir i want to inform that building maintenance required,Infrastructure
please note that hostel gate lock broken,Infrastructure
good morning sir i want to report that power outage in hostel block,Electrical
good evening i am facing a problem where power outage in hostel block,Electrical
please note that water supply not available,Infrastructure
good evening madam kindly check because mess food quality very bad,Mess
hello sir i want to report that wiring problem in room,Electrical
hello there is a complaint that scholarship not processed,Administration
good morning sir vegetables not fresh,Mess
respected sir there is a complaint that socket not working,Electrical
hello please resolve as wiring problem in room,Electrical
hello administration i want to report that library chairs broken,Infrastructure
hello sir water leakage in hostel,Infrastructure
respected sir kindly check because toilet blocked,Infrastructure
hello please note that wifi not working in hostel,Network
hello i am facing a problem where power outage in hostel block,Electrical
hello sir teacher absent frequently,Academic
respected sir building maintenance required,Infrastructure
good morning sir network issue in hostel block,Network
please resolve as administration staff rude,Administration
hello sir there is an issue where faculty not responding to doubts,Academic
respected sir kindly check because certificate not issued,Administration
hello administration i am facing a problem where fee receipt not updated,Administration
hello administration exam schedule confusing,Academic
good morning sir i want to report that id card issue unresolved,Administration
good evening there is an issue where toilet blocked,Infrastructure
hello i would like to complain that washroom not clean,Infrastructure
hello sir please resolve as food smells bad,Mess
good evening madam kindly check because toilet blocked,Infrastructure
respected sir i would like to complain that breakfast quality poor,Mess
good evening madam building maintenance required,Infrastructure
hello i would like to complain that vegetables not fresh,Mess
good morning there is an issue where drinking water problem,Infrastructure
respected sir i want to inform that scholarship not processed,Administration
hello there is a complaint that campus wifi down today,Network
hello administration i want to inform that bathroom cleaning not done,Infrastructure
good evening madam i want to report that no internet in hostel room,Network
good morning sir kindly check because hostel gate lock broken,Infrastructure
hello administration i would like to complain that certificate not issued,Administration
hello sir class schedule not clear,Academic
hello administration please note that power outage in hostel block,Electrical
i would like to complain that lecture starts late,Academic
good evening please resolve as complaint office not responding,Administration
hi sir there is an issue where internet not accessible in library,Network
good morning kindly check because water supply not available,Infrastructure
good morning i would like to complain that internet speed very slow,Network
hello i want to inform that leave request not approved,Administration
hello administration i want to report that power outage in hostel block,Electrical
hello sir please note that fan not working in room,Electrical
hello administration i want to inform that socket not working,Electrical
hello i want to report that administration staff rude,Administration
good evening please note that fan speed very slow,Electrical
hello sir kindly check because electricity gone since morning,Electrical
good evening there is a complaint that wifi disconnecting frequently,Network
hi sir kindly check because power outage in hostel block,Electrical
respected sir there is an issue where fee receipt not updated,Administration
hello administration i want to inform that id card issue unresolved,Administration
good evening fan making loud noise,Electrical
hello sir kindly check because water supply not available,Infrastructure
respected sir please resolve as vegetables not fresh,Mess
good evening madam i want to inform that documents verification delayed,Administration
hi sir i want to inform that teacher absent frequently,Academic
